codice_cliente,Data_Interazione,Tipo_Interazione,Motivo,Durata_Minuti,Esito,Note,Conversione
9500,2024-04-05,Visita Agente,Reclamo,15.0,Positivo,Cliente interessato,False
9500,2024-08-29,Chat Online,Pagamento Premio,2.0,Negativo,,False
9500,2025-04-18,App Mobile,Consulenza,5.0,Neutrale,,False
9501,2024-01-01,Chiamata Telefonica,Modifica Polizza,,Positivo,,False
9501,2024-04-29,Chiamata Telefonica,Richiesta Info Prodotto,,Positivo,,False
9501,2024-06-05,Chat Online,Richiesta Preventivo,2.0,Positivo,,False
9501,2024-12-26,Chat Online,Richiesta Info Prodotto,0.0,Positivo,Cliente interessato,True
9501,2025-07-17,Visita Agente,Pagamento Premio,3.0,Neutrale,,False
9502,2024-05-06,Email,Richiesta Preventivo,0.0,Positivo,,False
9502,2024-09-12,Visita Agente,Sinistro,7.0,Neutrale,Da ricontattare,False
9502,2025-08-26,Email,Pagamento Premio,6.0,Positivo,Da ricontattare,False
9502,2025-09-03,Chiamata Telefonica,Pagamento Premio,61.0,Negativo,,False
9502,2025-10-27,Email,Richiesta Preventivo,1.0,Positivo,,True
9502,2025-11-03,Chat Online,Pagamento Premio,,Positivo,,False
9503,2024-02-09,Visita Agente,Consulenza,10.0,Positivo,Cliente interessato,False
9503,2024-03-24,Visita Agente,Richiesta Preventivo,4.0,Positivo,,True
9503,2024-05-07,Email,Rinnovo,0.0,Positivo,,False
9503,2024-12-05,Visita Agente,Rinnovo,8.0,Positivo,Da ricontattare,False
9503,2025-05-24,Chat Online,Reclamo,67.0,Positivo,,False
9503,2025-05-25,Chat Online,Modifica Polizza,,Positivo,Richiesta follow-up,False
9503,2025-06-16,Chiamata Telefonica,Consulenza,,Positivo,,False
9503,2025-07-07,Email,Modifica Polizza,0.0,Positivo,,False
9504,2024-10-04,Chiamata Telefonica,Rinnovo,1.0,Positivo,Richiesta follow-up,False
9504,2024-10-15,Chat Online,Richiesta Preventivo,,Neutrale,,False
9504,2025-06-03,Visita Agente,Modifica Polizza,3.0,Positivo,Da ricontattare,False
9504,2025-11-21,Chiamata Telefonica,Sinistro,,Neutrale,,False
9505,2024-04-14,Email,Consulenza,,Positivo,,False
9505,2024-06-30,Chiamata Telefonica,Consulenza,4.0,Positivo,Da ricontattare,True
9505,2024-08-31,Visita Agente,Modifica Polizza,3.0,Positivo,Cliente interessato,False
9505,2024-11-14,Chiamata Telefonica,Richiesta Info Prodotto,8.0,Positivo,,True
9505,2024-12-19,Chat Online,Richiesta Info Prodotto,45.0,Positivo,Richiesta follow-up,False
9505,2025-06-25,App Mobile,Richiesta Preventivo,,Positivo,,True
9505,2025-09-15,Chat Online,Modifica Polizza,3.0,Positivo,,False
9506,2024-09-15,App Mobile,Reclamo,17.0,Negativo,Cliente interessato,False
9506,2025-02-05,App Mobile,Pagamento Premio,,Negativo,Cliente interessato,False
9506,2025-03-02,Chat Online,Rinnovo,,Neutrale,,False
9506,2025-08-15,Visita Agente,Pagamento Premio,1.0,Positivo,,False
9507,2024-05-04,Chat Online,Sinistro,2.0,Positivo,Da ricontattare,False
9507,2024-05-16,Chiamata Telefonica,Richiesta Info Prodotto,,Neutrale,Da ricontattare,False
9507,2024-11-06,Chat Online,Reclamo,4.0,Positivo,,False
9507,2025-06-11,Chat Online,Sinistro,13.0,Positivo,,False
9507,2025-10-26,Visita Agente,Consulenza,27.0,Positivo,,False
9508,2024-06-13,Chat Online,Modifica Polizza,,Positivo,,False
9509,2024-03-30,Chat Online,Consulenza,49.0,Negativo,Cliente interessato,False
9509,2024-10-12,Email,Sinistro,33.0,Positivo,,False
9510,2025-03-11,Chiamata Telefonica,Pagamento Premio,2.0,Positivo,,False
9511,2024-05-03,Chiamata Telefonica,Pagamento Premio,,Positivo,Cliente interessato,False
9511,2024-06-26,Email,Modifica Polizza,21.0,Positivo,,False
9511,2024-11-03,Email,Rinnovo,7.0,Positivo,,False
9511,2025-05-15,Chiamata Telefonica,Richiesta Info Prodotto,11.0,Positivo,,False
9511,2025-07-25,Chiamata Telefonica,Reclamo,2.0,Negativo,,False
9512,2024-05-21,Visita Agente,Pagamento Premio,32.0,Neutrale,,False
9512,2024-06-26,Visita Agente,Sinistro,1.0,Negativo,,False
9512,2024-09-28,Visita Agente,Sinistro,25.0,Neutrale,,False
9512,2024-11-24,App Mobile,Reclamo,25.0,Neutrale,,False
9512,2025-04-07,App Mobile,Rinnovo,,Negativo,,False
9513,2024-01-18,Chiamata Telefonica,Rinnovo,,Positivo,Cliente interessato,False
9513,2024-04-03,Visita Agente,Richiesta Info Prodotto,45.0,Positivo,,False
9513,2025-07-16,Chat Online,Sinistro,3.0,Positivo,Richiesta follow-up,False
9514,2023-12-31,Visita Agente,Consulenza,15.0,Positivo,,False
9514,2024-08-14,App Mobile,Reclamo,25.0,Positivo,,False
9514,2024-12-23,Email,Sinistro,5.0,Positivo,,False
9514,2025-02-07,Visita Agente,Richiesta Info Prodotto,1.0,Neutrale,Richiesta follow-up,False
9515,2025-07-18,Visita Agente,Modifica Polizza,4.0,Positivo,,False
9515,2025-08-09,Chiamata Telefonica,Richiesta Info Prodotto,1.0,Positivo,,False
9515,2025-09-13,Visita Agente,Modifica Polizza,11.0,Positivo,,False
9515,2025-11-09,App Mobile,Modifica Polizza,28.0,Positivo,,False
9516,2023-12-14,Chiamata Telefonica,Pagamento Premio,28.0,Neutrale,,False
9516,2024-11-30,Email,Pagamento Premio,18.0,Positivo,,False
9516,2025-02-14,Chiamata Telefonica,Modifica Polizza,,Negativo,Richiesta follow-up,False
9517,2024-11-04,Visita Agente,Reclamo,28.0,Neutrale,Da ricontattare,False
9517,2025-10-01,Email,Reclamo,,Positivo,,False
9517,2025-10-27,Visita Agente,Pagamento Premio,,Positivo,,False
9518,2024-05-13,Visita Agente,Richiesta Info Prodotto,3.0,Negativo,,False
9518,2024-10-22,Chat Online,Modifica Polizza,61.0,Positivo,,False
9518,2025-01-04,Chat Online,Modifica Polizza,,Positivo,,False
9518,2025-04-07,Chiamata Telefonica,Richiesta Preventivo,14.0,Negativo,Cliente interessato,False
9519,2024-06-03,Chiamata Telefonica,Richiesta Info Prodotto,,Positivo,Cliente interessato,False
9520,2024-06-10,Email,Pagamento Premio,46.0,Positivo,Da ricontattare,False
9520,2024-11-02,Visita Agente,Reclamo,7.0,Positivo,,False
9520,2025-05-18,Visita Agente,Consulenza,4.0,Negativo,,False
