Unnamed: 0,codice_cliente,Prodotto,Area di Bisogno,Data di Emissione,Premio_Ricorrente,Premio_Unico,Capitale_Rivalutato,Massimale,Stato_Polizza,Data_Scadenza,Canale_Acquisizione,Commissione_Perc,Premio_Totale_Annuo,Commissione_Euro,Costi_Operativi,Margine_Lordo,Importo_Liquidato,Sinistri_Totali,Loss_Ratio
0.0,9500,Assicurazione Casa e Famiglia: Casa Serena,Protezione,2011-05-06,387.0,,,500000.0,Scaduta,2012-05-06,Rete Diretta Agenziale,0.153,387.0,59,89.48784023253484,239,,0,0.0
1.0,9501,Assicurazione Casa e Famiglia: Casa Serena,Protezione,2021-09-25,683.0,,,1000000.0,Attiva,2022-09-25,Rete Diretta Agenziale,0.14,683.0,96,126.41967086943347,461,,0,0.0
2.0,9501,Polizza Vita a Premio Unico: Futuro Sicuro,Risparmio e Investimento,2017-11-16,,47300.0,54197.0,,Attiva,2018-11-16,Rete Diretta Agenziale,0.049,0.0,0,0.0,0,,0,0.0
3.0,9501,Polizza Vita a Premi Ricorrenti: Risparmio Costante,Risparmio e Investimento,2023-09-02,391.0,,5089.0,,Attiva,2024-09-02,Rete Diretta Agenziale,0.025,391.0,10,72.88609271868926,308,,0,0.0
4.0,9501,Polizza Vita a Premio Unico: Futuro Sicuro,Risparmio e Investimento,2018-09-28,113.0,,9999.0,,Attiva,2019-09-28,Rete Diretta Agenziale,0.022,113.0,2,21.24026093253067,90,,0,0.0
5.0,9502,Polizza Salute e Infortuni: Salute Protetta,Protezione,2017-09-04,535.0,,,200000.0,Attiva,2018-09-04,Rete Diretta Agenziale,0.158,535.0,85,91.07284982109438,359,12291.0,12291,3.0
6.0,9502,Assicurazione Casa e Famiglia: Casa Serena,Protezione,2010-04-05,273.0,,,100000.0,Scaduta,2011-04-05,Rete Diretta Agenziale,0.142,273.0,39,52.13955131726835,182,,0,0.0
7.0,9502,Polizza Vita a Premio Unico: Futuro Sicuro,Risparmio e Investimento,2015-11-26,,29616.0,37400.0,,Scaduta,2016-11-26,Rete Diretta Agenziale,0.049,0.0,0,0.0,0,,0,0.0
8.0,9502,Piano Individuale Pensionistico (PIP): Pensione Serenità,Previdenza,2018-08-03,267.0,,22677.0,,Scaduta,2019-08-03,Rete Diretta Agenziale,0.02,267.0,5,46.928591037345264,215,,0,0.0
9.0,9503,Polizza Salute e Infortuni: Salute Protetta,Protezione,2016-05-11,887.0,,,200000.0,Scaduta,2017-05-11,Rete Diretta Agenziale,0.154,887.0,137,157.19120733028353,593,,0,0.0
10.0,9503,Assicurazione Casa e Famiglia: Casa Serena,Protezione,2023-05-28,271.0,,,500000.0,Attiva,2024-05-28,Rete Diretta Agenziale,0.15,271.0,41,59.81669047787249,170,,0,0.0
11.0,9503,Piano Individuale Pensionistico (PIP): Pensione Serenità,Previdenza,2020-02-05,222.0,,14317.0,,Attiva,2021-02-05,Rete Diretta Agenziale,0.048,222.0,11,52.586335737811766,158,,0,0.0
12.0,9505,Polizza Salute e Infortuni: Salute Protetta,Protezione,2020-04-24,709.0,,,100000.0,Attiva,2021-04-24,Rete Diretta Agenziale,0.157,709.0,111,170.73716427397363,427,,0,0.0
13.0,9505,Assicurazione Casa e Famiglia: Casa Serena,Protezione,2011-02-24,313.0,,,500000.0,Attiva,2012-02-24,Rete Diretta Agenziale,0.123,313.0,38,68.88251919407962,206,,0,0.0
14.0,9506,Polizza Salute e Infortuni: Salute Protetta,Protezione,2024-12-08,991.0,,,350000.0,Attiva,2025-12-08,Rete Diretta Agenziale,0.146,991.0,145,219.4147401278463,627,,0,0.0
15.0,9507,Assicurazione Casa e Famiglia: Casa Serena,Protezione,2018-01-18,705.0,,,100000.0,Attiva,2019-01-18,Rete Diretta Agenziale,0.152,705.0,107,141.3386243866263,457,,0,0.0
16.0,9508,Polizza Salute e Infortuni: Salute Protetta,Protezione,2020-03-06,693.0,,,350000.0,Attiva,2021-03-06,Rete Diretta Agenziale,0.137,693.0,95,144.34126313373764,454,,0,0.0
17.0,9508,Assicurazione Casa e Famiglia: Casa Serena,Protezione,2020-07-13,379.0,,,200000.0,Attiva,2021-07-13,Rete Diretta Agenziale,0.168,379.0,64,90.3391241986031,225,,0,0.0
