codice_cliente,n_polizze,premi_tot,n_sinistri,importo_liquidato,first_date,last_date,loss_ratio_cliente,frequenza_cliente,severita_cliente
9500,1,387.0,0.0,0.0,,,0.0,0.0,
9501,4,1187.0,0.0,0.0,,,0.0,0.0,
9502,4,1075.0,1.0,12291.0,2019-02-02,2019-02-02,11.433488372093024,0.25,12291.0
9503,3,1380.0,0.0,0.0,,,0.0,0.0,
9505,2,1022.0,0.0,0.0,,,0.0,0.0,
9506,1,991.0,0.0,0.0,,,0.0,0.0,
9507,1,705.0,0.0,0.0,,,0.0,0.0,
9508,2,1072.0,0.0,0.0,,,0.0,0.0,
9509,1,549.0,0.0,0.0,,,0.0,0.0,
9511,3,1299.0,0.0,0.0,,,0.0,0.0,
9512,1,127.0,0.0,0.0,,,0.0,0.0,
9513,2,688.0,1.0,8637.0,2025-05-15,2025-05-15,12.553779069767442,0.5,8637.0
9515,2,1307.0,1.0,1851.0,2025-09-29,2025-09-29,1.4162203519510328,0.5,1851.0
9516,3,1620.0,1.0,17697.0,2023-07-01,2023-07-01,10.924074074074074,0.3333333333333333,17697.0
9519,2,1099.0,0.0,0.0,,,0.0,0.0,
9520,3,1299.0,0.0,0.0,,,0.0,0.0,
9521,2,781.0,0.0,0.0,,,0.0,0.0,
9522,1,342.0,0.0,0.0,,,0.0,0.0,
9523,2,939.0,0.0,0.0,,,0.0,0.0,
9524,2,752.0,1.0,5069.0,2025-09-01,2025-09-01,6.740691489361702,0.5,5069.0
9525,3,1144.0,0.0,0.0,,,0.0,0.0,
9526,3,940.0,1.0,23778.0,2025-12-09,2025-12-09,25.295744680851065,0.3333333333333333,23778.0
9527,2,1057.0,2.0,45967.0,2024-10-08,2025-11-16,43.48817407757805,1.0,22983.5
9528,2,491.0,0.0,0.0,,,0.0,0.0,
9531,1,967.0,0.0,0.0,,,0.0,0.0,
9532,1,476.0,0.0,0.0,,,0.0,0.0,
9533,3,1261.0,0.0,0.0,,,0.0,0.0,
9534,1,201.0,0.0,0.0,,,0.0,0.0,
9535,2,524.0,0.0,0.0,,,0.0,0.0,
9537,1,561.0,0.0,0.0,,,0.0,0.0,
9538,2,796.0,1.0,31864.0,2024-09-28,2024-09-28,40.030150753768844,0.5,31864.0
9539,2,256.0,0.0,0.0,,,0.0,0.0,
9540,1,466.0,0.0,0.0,,,0.0,0.0,
9541,1,299.0,0.0,0.0,,,0.0,0.0,
9542,2,857.0,0.0,0.0,,,0.0,0.0,
9543,2,1040.0,0.0,0.0,,,0.0,0.0,
9544,1,254.0,0.0,0.0,,,0.0,0.0,
9545,2,317.0,0.0,0.0,,,0.0,0.0,
9546,1,549.0,0.0,0.0,,,0.0,0.0,
9547,4,1090.0,1.0,30117.0,2024-06-23,2024-06-23,27.6302752293578,0.25,30117.0
9548,4,1701.0,0.0,0.0,,,0.0,0.0,
9550,4,1387.0,0.0,0.0,,,0.0,0.0,
9551,3,1145.0,1.0,11442.0,2025-08-27,2025-08-27,9.99301310043668,0.3333333333333333,11442.0
9552,1,986.0,0.0,0.0,,,0.0,0.0,
9553,2,514.0,0.0,0.0,,,0.0,0.0,
9554,3,836.0,0.0,0.0,,,0.0,0.0,
9555,2,658.0,0.0,0.0,,,0.0,0.0,
9556,2,263.0,0.0,0.0,,,0.0,0.0,
9557,2,1325.0,0.0,0.0,,,0.0,0.0,
9559,4,1066.0,0.0,0.0,,,0.0,0.0,
9561,3,672.0,1.0,14976.0,2021-04-19,2021-04-19,22.285714285714285,0.3333333333333333,14976.0
9562,3,1955.0,1.0,46663.0,2023-09-17,2023-09-17,23.86854219948849,0.3333333333333333,46663.0
9565,3,933.0,0.0,0.0,,,0.0,0.0,
9566,2,489.0,0.0,0.0,,,0.0,0.0,
9567,2,691.0,0.0,0.0,,,0.0,0.0,
9570,2,651.0,0.0,0.0,,,0.0,0.0,
9573,2,507.0,0.0,0.0,,,0.0,0.0,
9574,2,1125.0,2.0,23113.0,2024-02-21,2025-04-18,20.544888888888888,1.0,11556.5
9575,1,550.0,0.0,0.0,,,0.0,0.0,
9576,2,675.0,0.0,0.0,,,0.0,0.0,
9577,2,353.0,1.0,47429.0,2017-05-18,2017-05-18,134.3597733711048,0.5,47429.0
